firma,2019,2018,2017,2016
BASF,98933.5,94582.1,80675.0,76942.0
Sony,189586.9,179305.4,158519.0,148366.0
Indian Oil,48385.6,45337.5,42132.0,36550.0
AEON,90293.6,88600.2,78223.0,72886.0
Amer International Group,21240.6,22046.6,18405.0,18559.0
ArcelorMittal,91249.0,85297.0,75142.0,76846.0
People's Insurance Co. of China,150259.3,151705.5,134132.0,129892.0
Target,41290.0,38999.0,37431.0,40262.0
Airbus,131671.3,136812.0,117204.0,115877.0
Deutsche Post DHL Group,57687.2,46436.1,40387.0,-
Nippon Life Insurance,712112.7,699638.1,650429.0,628296.0
Engie,175681.4,180513.9,167158.0,174507.0
Royal Ahold Delhaize,38097.3,40671.2,38257.0,-
Freddie Mac,2063060.0,2049776.0,2023376.0,1986050.0
Beijing Automotive Group,66789.5,67030.5,57783.0,45852.0
PTT,72348.4,68517.9,62349.0,60439.0
Panasonic,54341.1,59166.3,53702.0,49804.0
United Parcel Service,50016.0,45403.0,40377.0,38311.0
Lowe's,34508.0,35291.0,34408.0,31266.0
COFCO,81657.4,83596.6,72072.0,70682.0
Intel,127963.0,123249.0,113327.0,103065.0
U.S. Postal Service,26688.0,27394.0,25219.0,24014.0
CITIC Group,986297.0,972752.6,938261.0,884429.0
China Evergrande Group,273829.0,270539.3,194384.0,-
JD.com,30465.2,28264.0,23077.0,-
China North Industries Group,57675.4,-,-,-
China Telecommunications,122945.9,-,-,-
MetLife,687538.0,-,898764.0,877933.0
Renault,131440.4,132016.1,107681.0,98415.0
ChemChina,116353.6,122068.7,54341.0,57366.0
Munich Re Group,308802.0,319070.6,282435.0,300356.0
Procter &amp; Gamble,118310.0,120406.0,127136.0,129495.0
Marubeni,61526.0,64677.1,61904.0,63336.0
United Technologies,134211.0,96920.0,89706.0,87484.0
China Baowu Steel Group,103676.1,114497.4,106725.0,-
Bank of Communications,1388230.0,1387938.3,1209176.0,1101910.0
Aviation Industry Corp. of China,138082.7,133772.1,124892.0,143814.0
FedEx,52330.0,48552.0,46064.0,37069.0
Dai-ichi Life Holdings,505478.1,504119.5,466617.0,-
PepsiCo,77648.0,79804.0,74129.0,69667.0
Archer Daniels Midland,40833.0,39963.0,39769.0,40157.0
Prudential Financial,815078.0,831921.0,783962.0,757388.0
Mitsui,107940.5,106335.6,103231.0,97086.0
Petronas,154071.2,148330.9,134528.0,137974.0
Seven &amp; I Holdings,52069.2,51503.9,49244.0,48216.0
Oil &amp; Natural Gas,71563.4,70571.0,-,-
PowerChina,123815.2,105031.2,86687.0,77400.0
Toyota Tsusho,40132.5,40534.6,-,-
Roche Group,79680.3,78698.6,75609.0,75710.0
