firma,2019,2018,2017,2016
AEON,77122.5,75339.0,75772.0,67758.0
Amer International Group,76363.1,72766.0,49677.0,47795.0
ArcelorMittal,76033.0,68679.0,56791.0,63578.0
People's Insurance Co. of China,75377.3,71579.0,66732.0,64606.0
Target,75356.0,71879.0,69495.0,73785.0
Airbus,75185.0,75261.0,73628.0,71493.0
Deutsche Post DHL Group,75000.9,70545.0,65787.0,-
Nippon Life Insurance,74202.3,68684.0,67388.0,67118.0
Engie,74144.1,75279.0,73692.0,77520.0
Royal Ahold Delhaize,74103.9,70891.0,54955.0,-
Freddie Mac,73598.0,74676.0,65665.0,63491.0
Beijing Automotive Group,72677.4,69591.0,61130.0,54933.0
PTT,72307.2,58819.0,48719.0,59196.0
Panasonic,72178.4,72045.0,67775.0,62921.0
United Parcel Service,71861.0,65872.0,60906.0,58363.0
Lowe's,71309.0,68619.0,65017.0,59074.0
COFCO,71223.3,69669.0,61265.0,64516.0
Intel,70848.0,62761.0,59387.0,55355.0
U.S. Postal Service,70660.0,69636.0,71498.0,68928.0
CITIC Group,70659.0,61316.0,52852.0,55938.0
China Evergrande Group,70478.9,46019.0,31828.0,-
JD.com,69847.6,53965.0,39155.0,-
China North Industries Group,68777.7,-,-,-
China Telecommunications,68709.5,-,-,-
MetLife,67941.0,-,63476.0,69951.0
Renault,67764.1,66247.0,56667.0,50280.0
ChemChina,67397.5,57989.0,45177.0,41412.0
Munich Re Group,67225.9,70143.0,68700.0,69433.0
Procter &amp; Gamble,66832.0,66217.0,71726.0,78756.0
Marubeni,66753.5,68057.0,65792.0,60810.0
United Technologies,66501.0,59837.0,57244.0,61047.0
China Baowu Steel Group,66310.0,59255.0,46606.0,-
Bank of Communications,65644.8,57711.0,52990.0,57068.0
Aviation Industry Corp. of China,65534.4,59263.0,55306.0,60252.0
FedEx,65450.0,60319.0,50365.0,47453.0
Dai-ichi Life Holdings,64794.9,63522.0,59590.0,-
PepsiCo,64661.0,63525.0,62799.0,63056.0
