firma,2019,2018,2017,2016
AEON,214.0,220.2,103.9,50.0
Amer International Group,1483.0,1545.8,1199.9,1141.0
ArcelorMittal,5149.0,4568.0,1779.0,-7946.0
People's Insurance Co. of China,1952.0,2382.0,2144.3,3110.0
Target,2937.0,2934.0,2737.0,3363.0
Airbus,3604.2,3238.5,1100.3,2991.0
Deutsche Post DHL Group,2448.8,3058.1,2918.3,-
Nippon Life Insurance,2514.5,2201.6,2786.9,3361.0
Engie,1219.1,1604.0,-458.9,-5122.0
Royal Ahold Delhaize,2116.0,2048.2,917.9,-
Freddie Mac,9235.0,5625.0,7815.0,6376.0
Beijing Automotive Group,1097.7,1554.5,1260.6,1098.0
PTT,3704.4,3984.1,2681.6,582.0
Panasonic,2562.8,2130.4,1378.4,1610.0
United Parcel Service,4791.0,4910.0,3431.0,4844.0
Lowe's,2314.0,3447.0,3093.0,2546.0
COFCO,337.8,393.5,204.5,266.0
Intel,21053.0,9601.0,10316.0,11420.0
U.S. Postal Service,-3913.0,-2742.0,-5591.0,-5060.0
CITIC Group,4566.0,3224.7,3236.3,3764.0
China Evergrande Group,5652.6,3606.1,2368.8,-
JD.com,-376.7,-22.5,-573.0,-
China North Industries Group,966.4,-,-,-
China Telecommunications,1664.6,-,-,-
MetLife,5123.0,-,800.0,5310.0
Renault,3896.9,5764.6,3780.9,3132.0
ChemChina,-2207.6,-739.0,17.9,-132.0
Munich Re Group,2726.2,422.7,2853.1,3447.0
Procter &amp; Gamble,9750.0,15326.0,10508.0,7036.0
Marubeni,2082.5,1906.8,1433.7,519.0
United Technologies,5269.0,4552.0,5055.0,7608.0
China Baowu Steel Group,2168.2,21.9,442.8,-
Bank of Communications,11131.3,10390.3,10116.9,10586.0
Aviation Industry Corp. of China,695.0,363.1,464.2,883.0
FedEx,4572.0,2997.0,1820.0,1050.0
Dai-ichi Life Holdings,2029.6,3284.7,2134.5,-
PepsiCo,12515.0,4857.0,6329.0,5452.0
Archer Daniels Midland,1810.0,1595.0,1279.0,1849.0
Prudential Financial,4074.0,7863.0,4368.0,5642.0
Mitsui,3735.9,3777.1,2825.3,-695.0
Petronas,11868.3,8761.9,4092.9,3372.0
Seven &amp; I Holdings,1838.0,1626.7,892.9,1334.0
Oil &amp; Natural Gas,4360.6,3429.3,-,-
PowerChina,803.8,946.7,1057.6,1170.0
Toyota Tsusho,1196.1,1175.4,-,-
Roche Group,10738.1,8770.6,9719.9,9212.0
Auchan Holding,-1351.3,310.0,652.4,575.0
Albertsons Cos.,131.1,46.3,-373.3,-
Mitsubishi UFJ Financial Group,7871.0,8932.5,8550.1,7925.0
Unilever,11080.6,6823.0,5732.7,5445.0
Centene,900.0,828.0,562.0,355.0
Sinopharm,884.4,690.1,504.0,-
Walt Disney,12598.0,8980.0,9391.0,8382.0
POSCO,1556.1,2438.3,1167.5,152.0
Sysco,1430.8,1142.5,949.6,687.0
HP,5327.0,2526.0,2496.0,4554.0
Société Générale,4560.2,3163.0,4284.0,4438.0
Pertamina,2526.8,2540.2,3147.0,1420.0
Telefónica,3931.1,3530.4,2619.7,3045.0
Country Garden Holdings,5233.5,3856.3,1733.6,-
Tokyo Electric Power,2096.1,2870.9,1225.7,1173.0
Humana,1683.0,2448.0,614.0,1276.0
Brookfield Asset Management,3584.0,1462.0,1651.0,-
Hengli Group,582.9,1016.0,821.7,-
Alibaba Group Holding,13094.4,9673.1,6489.5,-
RWE,465.0,2189.1,-6249.1,-80.0
Facebook,22112.0,15934.0,10217.0,-
LG Electronics,1127.2,1526.7,66.2,110.0
Nippon Steel Corporation,2265.3,1760.6,1208.5,1211.0
Christian Dior,3037.8,2525.0,1740.3,2840.0
China Merchants Bank,12179.0,10379.4,9344.8,9181.0
Guangzhou Automobile Industry Group,885.5,989.2,551.9,498.0
Caterpillar,6147.0,754.0,-67.0,2102.0
Itaú Unibanco Holding,6814.8,7488.3,6666.4,7721.0
Anheuser-Busch InBev,4368.0,7996.0,1241.0,8273.0
Korea Electric Power,-1194.9,1148.9,6074.1,11752.0
Energy Transfer,1694.0,954.0,995.0,1189.0
Wesfarmers,927.4,2165.9,296.1,2029.0
América Móvil,2733.0,1550.2,462.9,2209.0
Lockheed Martin,5046.0,2002.0,5302.0,3605.0
Pfizer,11153.0,21308.0,7215.0,6960.0
China Pacific Insurance (Group),2724.1,2169.4,1814.9,2821.0
Repsol,2762.8,2390.8,1919.7,-1361.0
Novartis,12611.0,7703.0,6712.0,17783.0
Greenland Holding Group,1719.6,1337.2,1085.2,1096.0
China National Building Material Group,69.4,15.2,74.5,-
Goldman Sachs Group,10459.0,4286.0,7398.0,6083.0
Continental,3419.3,3364.3,3099.1,3025.0
Vinci,3520.4,3096.5,2770.1,2270.0
Finatis,-208.9,-66.5,687.8,-80.0
Deutsche Bahn,623.1,839.8,768.6,-1470.0
Sumitomo Mitsui Financial Group,6554.1,6628.2,6520.5,5387.0
Alimentation Couche-Tard,1673.6,1208.9,1193.5,933.0
Shandong Energy Group,573.0,489.3,39.2,-28.0
Lenovo Group,596.3,-189.3,535.1,-128.0
Industrial Bank,9164.5,8463.3,8105.9,7989.0
HBIS Group,-77.8,-119.2,-146.8,-
ThyssenKrupp,9.5,-715.7,328.6,354.0
Shanghai Pudong Development Bank,8453.0,8138.1,7992.8,8052.0
Vodafone Group,-9281.1,2849.4,-6904.0,-6059.0
Morgan Stanley,8748.0,6111.0,5979.0,6127.0
JBS,6.9,167.4,107.7,1392.0
Zhejiang Geely Holding Group,1969.3,1820.3,1265.7,287.0
Banco Bradesco,4537.5,5353.7,5127.9,5439.0
MS&amp;AD Insurance Group Holdings,1738.0,1390.5,1942.2,1512.0
Groupe BPCE,3571.2,3408.7,4410.1,3596.0
Tokio Marine Holdings,2476.5,2565.0,2527.4,2120.0
Cisco Systems,110.0,9609.0,10739.0,8981.0
Saint-Gobain,495.7,1765.2,1449.8,1437.0
Kia Motors,1050.7,856.4,2373.8,2326.0
Orange,2306.0,2148.5,3245.7,2942.0
Cigna,2637.0,2237.0,1867.0,2094.0
Denso,2295.6,2893.3,2377.6,2035.0
Sumitomo,2890.9,2784.6,1577.1,621.0
China Minsheng Banking,7608.4,7370.3,7201.6,7337.0
Woolworths Group,1335.7,-,-898.3,1785.0
Banco Bilbao Vizcaya Argentaria,6283.2,3966.7,3842.8,2931.0
American International Group,-6.0,-6084.0,-849.0,2196.0
State Bank of India,328.8,-706.8,36.0,1867.0
Tencent Holdings,11900.6,10580.6,6185.9,-
Zurich Insurance Group,3716.0,3004.0,3211.0,1842.0
Deutsche Bank,315.1,-846.5,-1550.4,-7536.0
Bayer,2000.4,8269.3,5010.6,4559.0
HCA Healthcare,3787.0,-,2890.0,2129.0
China Poly Group,1495.9,1152.6,744.1,840.0
China Shipbuilding Industry,930.2,716.3,485.8,1308.0
China Merchants Group,4468.7,4039.4,-,-
KDDI,5570.9,5167.5,5045.1,4119.0
BHP Group,3705.0,5890.0,-6385.0,1910.0
Bunge,267.0,160.0,745.0,791.0
CNP Assurances,1612.9,1447.9,1327.3,1254.0
Wuchan Zhongda Group,362.4,330.7,324.3,220.0
Sinomach,487.8,-,502.0,767.0
Aluminum Corp. of China,112.7,-428.6,-282.5,-851.0
SABIC,5738.3,4914.9,4757.1,5004.0
Volvo,2863.9,2455.2,1535.8,1786.0
China Vanke,5105.7,4150.5,3164.5,2883.0
Sberbank,13268.5,12869.0,8078.0,3655.0
Royal Bank of Canada,9635.8,8735.6,7839.6,7979.0
American Airlines Group,1412.0,1919.0,2676.0,7610.0
Wilmar International,1128.0,1219.3,972.2,1056.0
Pegatron,368.7,482.6,599.6,750.0
Delta Air Lines,3935.0,3577.0,4373.0,4526.0
Hanwha,425.8,358.6,423.7,-252.0
China United Network Communications,616.9,63.0,23.2,552.0
Shaanxi Yanchang Petroleum (Group),306.5,166.8,-22.6,-367.0
Charter Communications,1230.0,9895.0,3522.0,-
Tata Motors,-4122.0,1394.4,1111.6,1684.0
ZF Friedrichshafen,1064.5,1221.9,949.9,1080.0
Metro,-252.2,358.4,665.0,769.0
New York Life Insurance,880.0,1866.9,1088.1,257.0
