firma,2019,2018,2017,2016
Roche Group,94442,93734,94052,91747
Auchan Holding,340577,341349,342709,337737
Albertsons Cos.,267000,275000,273000,-
Mitsubishi UFJ Financial Group,119390,117321,115276,110936
Unilever,154848,160566,168832,171000
Centene,47300,33700,30500,18200
Sinopharm,128600,110641,106772,-
Walt Disney,201000,199000,195000,185000
POSCO,33784,32287,31768,34327
Sysco,67000,66500,51900,51700
HP,55000,49000,49000,287000
Société Générale,140250,153168,151341,151149
Pertamina,31569,27817,27227,27971
Telefónica,120138,122718,127323,129890
Country Garden Holdings,131387,124837,94450,-
Tokyo Electric Power,41086,41525,42060,42855
Humana,41600,45900,51600,50100
Brookfield Asset Management,100750,80750,55700,-
Hengli Group,81350,63420,61400,-
Alibaba Group Holding,101958,66421,50097,-
RWE,58441,59547,58652,59762
Facebook,35587,25105,17048,-
LG Electronics,72600,74000,75000,77000
Nippon Steel Corporation,115878,101738,100169,92504
Christian Dior,141914,131310,120479,113208
China Merchants Bank,74590,72530,70461,76192
Guangzhou Automobile Industry Group,113474,84290,75908,67426
Caterpillar,104000,98400,95400,112200
Itaú Unibanco Holding,100335,99332,94779,90320
Anheuser-Busch InBev,172603,182915,206633,152321
Korea Electric Power,46377,45232,43688,41949
Energy Transfer,11768,29486,30992,30078
Wesfarmers,217000,223000,220000,205000
América Móvil,194431,191851,194193,195475
Lockheed Martin,105000,100000,97000,126000
Pfizer,92400,90200,96500,97900
China Pacific Insurance (Group),107741,101887,97032,91761
Repsol,22735,22375,24396,25917
Novartis,125161,121597,118393,118700
Greenland Holding Group,39091,33473,39887,25621
China National Building Material Group,207958,214480,228448,-
Goldman Sachs Group,36600,36600,34400,36800
Continental,243226,235473,220137,207899
Vinci,211233,194428,183487,185452
Finatis,218923,231544,232503,330433
Deutsche Bahn,318528,310935,306368,297202
Sumitomo Mitsui Financial Group,86659,72978,77205,73652
Alimentation Couche-Tard,130000,120000,105000,80000
Shandong Energy Group,160064,158840,179689,196435
Lenovo Group,57000,54000,52000,60000
Industrial Bank,59659,58997,56236,52016
HBIS Group,118656,123178,125552,-
ThyssenKrupp,161096,158739,156487,154906
Shanghai Pudong Development Bank,55692,54263,52832,48427
Vodafone Group,98996,106135,111556,111684
Morgan Stanley,60348,57633,55311,56218
JBS,230086,235000,237061,238020
